2021-11-28 19:02:51:765 0 sec: 0 operations; est completion in 0 second 
2021-11-28 19:02:56:747 5 sec: 8865 operations; 1769.81 current ops/sec; est completion in 2 minutes [UPDATE AverageLatency(us)=1457.65] 
2021-11-28 19:03:01:743 10 sec: 34593 operations; 5149.72 current ops/sec; est completion in 1 minute [UPDATE AverageLatency(us)=577.12] 
2021-11-28 19:03:06:752 15 sec: 61760 operations; 5423.64 current ops/sec; est completion in 58 seconds [UPDATE AverageLatency(us)=547.98] 
2021-11-28 19:03:11:753 20 sec: 88785 operations; 5405 current ops/sec; est completion in 48 seconds [UPDATE AverageLatency(us)=550.95] 
2021-11-28 19:03:16:751 25 sec: 115650 operations; 5375.15 current ops/sec; est completion in 40 seconds [UPDATE AverageLatency(us)=554.18] 
2021-11-28 19:03:21:739 30 sec: 142106 operations; 5302.87 current ops/sec; est completion in 34 seconds [UPDATE AverageLatency(us)=561.81] 
2021-11-28 19:03:26:741 35 sec: 164365 operations; 4450.02 current ops/sec; est completion in 29 seconds [UPDATE AverageLatency(us)=669.57] 
2021-11-28 19:03:31:739 40 sec: 178700 operations; 2868.72 current ops/sec; est completion in 28 seconds [UPDATE AverageLatency(us)=1039.29] 
2021-11-28 19:03:36:749 45 sec: 192203 operations; 2694.67 current ops/sec; est completion in 26 seconds [UPDATE AverageLatency(us)=1106.06] 
2021-11-28 19:03:41:741 50 sec: 205215 operations; 2607.09 current ops/sec; est completion in 24 seconds [UPDATE AverageLatency(us)=1143.59] 
2021-11-28 19:03:46:751 55 sec: 218276 operations; 2606.47 current ops/sec; est completion in 21 seconds [UPDATE AverageLatency(us)=1143.57] 
2021-11-28 19:03:51:751 60 sec: 231103 operations; 2565.4 current ops/sec; est completion in 18 seconds [UPDATE AverageLatency(us)=1162.05] 
2021-11-28 19:03:56:754 65 sec: 244662 operations; 2710.72 current ops/sec; est completion in 15 seconds [UPDATE AverageLatency(us)=1099.86] 
2021-11-28 19:04:01:741 70 sec: 257539 operations; 2582.11 current ops/sec; est completion in 12 seconds [UPDATE AverageLatency(us)=1154.1] 
2021-11-28 19:04:06:749 75 sec: 271677 operations; 2822.52 current ops/sec; est completion in 8 second [UPDATE AverageLatency(us)=1055.92] 
2021-11-28 19:04:11:744 80 sec: 286616 operations; 2990.79 current ops/sec; est completion in 4 second [UPDATE AverageLatency(us)=995.33] 
2021-11-28 19:04:16:747 85 sec: 298781 operations; 2432.03 current ops/sec; est completion in 1 second [CLEANUP AverageLatency(us)=2.5] [UPDATE AverageLatency(us)=933.41] 
2021-11-28 19:04:17:621 85 sec: 300000 operations; 1393.14 current ops/sec; [CLEANUP AverageLatency(us)=2] [UPDATE AverageLatency(us)=712.32] 
